y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
0.4488,3.3655,-2.459    1,.074129    0,.000000    0,.044290   -0,.442643   -0,0.117972,0.0000    0,.0000    0,.3538   85,85.1086
1.3434,3.1951,-2.555,1.135665,0,0.050055,-0.561119,-0.10927,0,0,0.3407,6977.7386
2.2288,3.0264,-2.514,1.18279,0,0.05155,-0.70338,-0.106551,0,0,0.3346,5566.4377
3.099,2.8606,-2.431,1.222264,0,0.051622,-0.866094,-0.105709,0,0,0.331,4351.1284
3.948,2.6988,-2.341,1.255428,0,0.051107,-1.048158,-0.105497,0,0,0.3286,3325.644
4.77,2.5422,-2.261,1.282906,0,0.05047,-1.248826,-0.105452,0,0,0.3267,2478.8898
5.5594,2.3918,-2.202,1.304863,0,0.050021,-1.466847,-0.10534,0,0,0.3253,1795.9945
6.3109,2.2486,-2.175,1.321054,0,0.050037,-1.699768,-0.105049,0,0,0.324,1259.4387
7.0193,2.1137,-2.19,1.330723,0,0.050769,-1.943129,-0.104437,0,0,0.323,850.1273
7.6797,1.9878,-2.26,1.332512,0,0.052497,-2.189513,-0.103343,0,0,0.3221,548.3652
8.2876,1.872,-2.403,1.324224,0,0.055474,-2.427116,-0.101503,0,0,0.3212,334.7139
8.839,1.767,-2.637,1.302628,0,0.059911,-2.638434,-0.098511,0,0,0.3202,190.7136
9.3299,1.6734,-2.984,1.26317,0,0.06578,-2.798447,-0.093798,0,0,0.3189,99.4702
9.7572,1.592,-3.464,1.199924,0,0.072569,-2.874289,-0.086655,0,0,0.317,46.1099
10.1177,1.5233,-4.092,1.106092,0,0.079084,-2.828155,-0.076546,0,0,0.3141,18.1145
10.4092,1.4678,-4.897,0.975272,0,0.08353,-2.626845,-0.063856,0,0,0.3105,5.5406
10.6296,1.4258,-5.947,0.803198,0,0.083641,-2.26253,-0.05133,0,0,0.3087,1.104
10.7773,1.3977,-7.351,0.590156,0,0.076124,-1.798671,-0.048795,0,0,0.3237,0.0852
10.8514,1.3835,-10.01,0.356767,0,0.062974,-1.218798,-0.018246,0,0,0.2891,0
